Investment	Q	Cash	Debt
3.439	0.82838	0.50515	0.07606
20.391	0.39628	0.19877	0.24319
6.96	0.54648	0.14625	0.36544
30.183	2.63628	0.58356	0.55748
2.623	0.64544	0.04308	0
7.52	1.34456	0.44225	0
11.925	1.29268	0.18938	0
7.785	1.13674	0.2113	0.19866
3.503	0.70343	0.28176	0.35578
8.369	1.18718	0.27711	0.30052
8.179	0.80169	0.34391	0.345
6.981	1.68546	0.26901	0.12159
25.032	0.64991	0.18874	0.63048
9.993	0.79803	0.24336	0.24365
6.203	0.84347	0.20484	0.22151
8.397	0.72702	-0.05472	0.041
3.737	0.48787	0.13506	0.30856
9.296	1.18388	0.31745	0.39197
8.505	0.64823	0.21037	0.26887
6.329	0.90495	0.17516	0.22562
20.513	4.67476	0.20704	0.03158
12.649	1.63942	0.28345	0.19522
9.636	1.09681	0.28849	0.1625
3.851	0.52305	0.07835	0.24662
9.741	1.07219	0.33585	0.14372
7.923	1.04126	0.13946	0.19648
7.236	0.73388	0.27461	0.1661
8.05	0.76713	0.3602	0.23889
4.287	0.34521	-0.00481	0.03981
7.116	0.58115	0.11891	0.43198
6.003	0.26521	0.10722	0.56326
6.689	0.94057	0.25093	0.04853
6.681	0.52829	0.15567	0.50216
6.457	0.43313	0.14573	0.27844
2.25	0.97994	0.18353	0
4.818	0.61777	0.03126	2.19881
2.957	0.93187	0.17029	0.42931
13.267	1.8228	0.38797	0.01897
3.999	0.54174	0.04286	0.33307
10.044	3.14867	0.69627	0.06087
19.262	1.5388	0.48231	0.29539
6.262	2.99132	0.40729	0.23266
10.4	1.38308	0.32081	0.0702
3.056	0.89092	0.35988	0
6.041	0.41426	-0.02735	2.6083
8.591	0.72577	0.27155	0.37245
12.823	1.09633	0.35717	0.39047
26.766	6.31702	0.66437	0.1283
4.748	0.719	0.21317	0.5074
8.147	0.7939	0.20486	0.12711
9.631	8.06601	0.53312	0.18212
4.537	0.58516	0.14949	0
7.76	1.3751	0.22245	0
3.133	0.84611	0.147	0.39218
14.762	1.10188	0.27844	0.33604
24.352	2.50268	0.22003	0.5477
6.599	1.64645	0.20164	0.29708
8.842	0.87428	0.17062	0.23135
13.83	0.59792	0.13502	0.23796
3.304	1.11164	0.24075	0.1396
9.557	6.61642	1.02644	0
10.542	1.09377	0.23033	0.02882
11.344	0.71274	0.10235	0.08234
7.541	0.27804	0.13739	0.24461
11.504	1.25074	0.12129	0.30126
5.459	13.12421	0.94817	0
5.732	0.36748	0.10868	0.47057
6.718	1.69556	0.27145	0.03592
14.179	4.15941	0.50004	0.74514
2.589	1.03325	-0.35779	1.77819
4.926	0.56544	0.36623	0.60829
13.315	1.20411	0.29598	0.38737
6.482	0.55834	-0.18068	0.02448
7.01	0.47919	0.25672	0.33736
9.197	0.77828	0.22201	0.25107
5.654	1.27397	0.25252	0.3158
3.277	6.97873	0.11667	0
3.775	2.21041	0.31709	0.03077
20.878	5.93713	0.8668	0.1062
4.656	0.58461	0.10852	0.36549
16.415	0.41373	0.21472	0.55
5.697	3.01276	0.39373	0.05038
7.407	1.20133	0.25741	0.34004
7.026	0.18922	0.1416	0.38483
11.487	0.7963	0.254	0.15134
4.217	0.86118	0.21457	0.54928
1.951	1.27159	0.18882	0.01878
12.953	0.09195	-0.02963	0.5155
18.857	2.74001	0.41178	0.24144
12.742	0.66178	0.30961	0.34603
13.692	0.95398	0.33605	0.26194
13.931	1.40041	0.36936	0.26957
8.264	1.21789	0.28338	0.58696
7.143	1.79029	0.17577	0.1604
6.682	0.98777	0.17057	0.65628
8.082	1.56438	0.34405	0.64902
13.173	1.59432	0.15823	0.36949
5.896	2.80977	0.37663	0.23372
5.247	4.75184	0.58029	0.17829
3.261	6.77964	0.34059	2.2952
5.857	1.52691	0.44447	0.09135
3.247	1.79837	0.17937	0
2.35	0.82115	0.12936	0.26268
6.754	0.65498	0.16174	0.84566
11.842	1.23744	0.28033	0.0162
30.554	0.15575	-0.00734	1.67433
3.227	0.55867	0.24532	0.54125
11.972	0.49078	0.20306	0.59614
12.179	0.69186	0.18216	0.28185
14.717	0.62517	0.14325	0.41417
9.768	0.34285	0.05981	0.14533
5.369	1.27042	0.25389	0.21009
9.957	0.83573	0.25386	0.22743
7.6	0.21144	0.08158	0.8529
11.182	0.49365	0.21177	0.14078
11.966	1.50518	0.31268	0.16319
31.009	1.96661	0.24468	0.45392
7.579	2.08132	0.46707	0.00951
11.335	0.62376	0.39164	0.06909
5.246	3.05278	0.31625	0
12.076	1.08084	0.16612	0.02633
5.632	1.15395	0.25375	0.09389
8.667	0.04777	0.39587	0.06584
12.834	1.1679	0.29444	0.18483
10.703	1.88449	0.11774	0.87627
4.352	0.15038	0.00636	0.39869
4.838	2.03155	0.10803	0.02949
7.14	2.02259	0.23381	0.50108
5.108	1.47563	0.14321	0.24355
12.033	0.79526	0.22769	0.7838
6.295	1.63538	0.3265	0.07437
5.764	1.30933	0.20241	0.20871
13.057	1.84658	0.37178	0.46262
5.093	0.47819	0.08874	0.12328
3.743	1.48178	0.293	0.157
7.182	0.88811	0.14321	0.02649
9.162	1.61343	0.28463	0.41389
10.761	3.18604	0.45492	0.10978
10.4	0.72081	0.08092	1.02269
35.844	1.08678	0.13789	0.3816
14.279	0.40303	0.14244	0.14613
1.5	1.01456	0.04551	0.2339
16.437	3.10586	0.71776	0.00567
9.512	0.6742	0.18454	0.2781
9.538	0.42957	0.17203	0.58686
4.631	1.71113	0.29095	0
7.496	0.81871	0.28487	0.59694
6.943	1.43527	0.16396	0.3386
7.357	1.96193	0.24683	0.12706
25.04	0.68997	0.12908	0.42123
11.195	0.35494	-0.0801	0.58328
16.14	1.44788	0.38119	0.03476
12.955	1.58417	0.29416	0.72953
12.106	2.229	0.47407	0.11733
5.098	0.35941	0.13528	0.53598
6.318	0.58938	0.07043	0.34629
1.332	0.26408	0.01534	0.32443
25.352	5.30211	0.58613	0
7.631	1.12755	0.2837	0.1406
10.066	1.3056	0.2707	0.31177
12.169	1.35905	0.84381	0.35173
4.657	0.30631	0.17995	0.41567
8.746	1.01396	0.01446	0.78244
4.094	0.65254	0.09313	0.10087
5.674	0.95771	0.3697	0.20024
7.669	1.69059	0.38098	0.2335
12.186	0.78935	0.7547	0.33587
6.386	3.54991	0.58044	0.07997
8.141	1.00142	0.1433	0.25322
6.743	1.38383	0.3905	0.26724
14.697	3.74246	0.69427	0.035
17.035	0.9418	0.2455	0.52304
14.333	0.76499	0.18642	0.17035
6.22	1.32796	0.32626	0.25187
13.323	2.39871	0.40933	0.3386
12.595	0.92929	0.37559	0.35136
8.186	1.51538	0.3536	0.12129
25.405	2.6385	0.60542	0.01979
5.516	0.58306	0.1579	1.32219
4.59	3.74331	0.73943	0
5.394	0.59508	0.29586	0.03341
9.025	1.38975	0.40978	0.26189
3.037	0.57694	-0.06885	1.89914
11.942	7.97927	1.77626	0.02126
2.659	1.01947	0.00981	0.50721
6.591	1.82609	0.31173	0.49002
6.741	0.50709	0.08587	0.45011
4.675	1.33167	0.2998	0
8.881	1.30241	0.30542	0.00707
21.537	3.18619	0.45651	0.29143
6.743	3.05928	0.42818	0
10.651	0.66611	0.12077	0.22673
9.052	0.50132	0.12092	0.29219
5.133	0.46739	-0.07855	1.72508
4.452	2.51018	0.32938	0.04105
2.55	0.30017	-0.10884	0.44811
12.758	3.0423	0.57528	0.24885
12.225	1.17952	0.26825	0.23436
0.712	0.71956	0.43213	0.23673
8.967	1.75572	0.31204	0
8.248	4.32373	0.45487	0.86526
4.077	0.35066	0.14877	0.4997
3.238	0.19714	0.03103	0.45259
4.609	0.47482	0.06386	0.14293
7.166	0.51479	0.26686	0.25847
19.398	2.62759	0.51997	0.16723
12.641	1.16292	0.21879	0.36709
1.596	0.96657	0.10134	0.44185
4.02	0.90838	0.39619	0
1.448	0.364	-0.08968	0.4497
25.809	0.51337	0.26186	0.29779
5.978	1.16857	0.17237	0.37039
10.972	0.92201	0.23309	0.69862
18.123	1.07066	0.17113	0.56637
2.094	2.28928	0.12866	0.94811
3.315	0.12777	0.05373	0.16466
1.241	0.36325	0.09086	0.44604
4.364	0.22932	0.13744	0.55016
9.737	1.05374	0.24508	0.30231
19.675	3.02501	0.40539	0
8.599	1.19961	0.26665	0.04275
9.939	3.14008	0.42233	0.1509
9.138	0.71247	0.28773	0.10449
5.272	0.39105	0.09616	0.2533
8.852	0.95149	0.13812	0.75781
3.835	0.26857	-0.00824	0.35625
10.819	0.55925	0.17055	0.21791
4.87	0.83513	0.22916	0.81299
5.737	1.78133	0.28433	0.10666
6.811	0.75868	0.16422	0.1952
11.115	1.76103	0.19332	0.62072
9.978	2.01443	0.41885	0.31708
14.394	1.64578	0.37695	0.17404
2.597	1.98278	0.30255	0.43745
3.398	0.54966	0.15363	0.22136
1.575	1.16767	0.0616	0
7.179	0.0287	0.20255	0.17285
4.748	0.75022	0.12468	0.29412
16.395	19.80595	1.16459	0.00181
11.852	0.98586	0.3381	0.16816
4.48	0.91057	0.10702	0.24216
8.873	0.33679	0.18331	0.83367
1.514	0.14749	-0.13893	0.58665
6.871	2.59476	0.49717	0.3037
6.938	0.54478	0.12774	0.30177
4.206	1.96212	0.26498	0.00443
6.537	0.72446	0.15033	0.34606
10.264	1.27622	0.13151	0.42865
15.464	1.35972	0.17423	0.13892
6.3	1.32371	0.61838	0
6.606	5.64176	0.59086	0.05476
12.015	0.18569	0.36058	0.08313
7.751	0.2229	-0.12018	0.01708
14.995	1.60177	0.36486	0.28992
7.088	0.66392	0.30888	0.59805
7.226	0.70213	0.20637	0.09639
12.389	2.51647	0.48423	0.09295
6.997	4.00337	0.88196	0
5.341	0.36717	0.1089	0.22662
24.684	5.38577	0.63869	0.06575
0.815	0.71585	0.01823	0
7.186	0.90255	0.27704	0.30247
10.001	0.26245	0.10394	0.19018
9.788	1.63858	0.45918	0.01465
4.101	0.05381	-0.00556	0.46475
5.381	0.53177	0.12383	0.02258
14.417	0.50362	0.03505	0.14182
2.363	0.24553	-0.19851	0.69941
4.796	0.35992	0.12212	0.2615
7.627	2.7933	0.40615	0.25086
4.074	0.49602	0.12767	0.99585
10.001	2.28842	0.34686	0.16486
32.45	1.09429	0.46795	0.28292
7.645	0.20524	-0.08603	0.47971
4.307	7.24693	1.15107	0.29615
29.018	1.21994	0.43391	0.04463
9.194	2.56527	0.30177	0.06119
8.628	0.26402	0.03211	0.20911
5.726	0.5772	0.10185	0.12108
22.982	18.05358	1.91284	0
14.648	1.6594	0.25998	0.36963
6.32	0.17131	0.07503	1.39562
13.861	0.56214	0.2494	0.00165
0.065	0.04541	0.01426	0.00303
8.113	1.10772	0.17704	0.22667
7.63	4.67132	1.22902	0
37.223	1.64917	0.23659	0.08782
9.649	3.64782	0.4657	0.01159
8.474	1.244	0.86897	0.00646
4.794	0.72925	0.18743	0.37996
18.526	1.12562	0.21804	0.19226
10.746	2.92269	0.26682	0.19522
1.818	0.71605	0.1221	0.47739
3.224	0.52151	-0.36278	0.10521
17.159	2.65734	0.35508	0.13917
10.794	1.22802	0.35346	0.29719
10.641	0.31588	0.10174	0.37397
8.42	0.81606	0.2268	0.25915
4.095	1.23442	0.21414	0.05169
11.567	3.57078	0.32813	0.18184
14.258	1.80605	0.279	1.21619
1.498	0.17468	0.02749	0.16643
8.945	1.22875	0.21747	0.30462
0.534	2.20518	0.14758	0
3.916	1.0008	0.28538	0
5.73	0.52397	0.21972	0.30442
6.672	1.99222	0.64975	0
18.594	0.62246	0.19977	0.44644
12.636	1.40145	0.36151	0.58241
9.727	2.24917	0.41703	0.09248
9.959	1.35776	0.24157	0
6.042	1.79961	0.37875	0.06964
5.91	0.51362	0.10854	0.21911
4.486	1.17586	0.32405	0.41965
10.9	2.26604	0.34067	0.18029
3.631	0.44072	0.21646	0.83339
17.201	1.66633	0.25184	0.2161
2.488	0.50716	-0.06426	0.26171
1.745	3.69965	1.21941	0.05463
24.712	13.31752	1.71587	9.54534
4.339	0.89424	0.18162	0.66051
0.598	0.04324	-0.16895	0.26779
3.21	0.51441	0.04353	0.25451
10.026	1.25776	0.3993	0
17.89	0.87002	0.26256	0.26174
11.829	0.39747	-0.27673	0
10.286	0.50005	0.12564	0.31433
9.102	1.39359	0.4524	0.36453
8.578	1.42889	0.32736	0.30652
9.156	3.3433	0.44284	0.49101
36.686	1.38423	0.4115	0.07859
2.03	0.77606	0.09736	0.053
5.41	0.47901	0.21739	0.45684
5.968	0.71272	0.1785	0.43461
15.821	2.70302	0.42953	0.11027
12.818	0.74368	0.64864	3.67973
6.618	1.98378	0.36643	0.09754
11.753	0.33672	0.23895	0.91378
17.629	1.97838	0.37626	0.35468
0.994	0.31001	0.07075	0.57166
3.28	1.68836	0.23561	0.52983
23.034	1.14316	0.35733	0.43709
9.829	1.2902	0.13349	0.39852
6.784	1.97095	0.50772	0.68188
5.506	0.60137	0.18664	0.16994
4.15	0.99714	0.07534	0.09127
5.322	0.20855	0.13294	0.11693
11.207	1.51156	0.3436	0.01766
3.602	1.31161	0.37764	0.20439
4.583	0.74083	-0.09588	0.12403
4.913	1.29729	0.24751	0.1734
16.713	1.98553	0.31154	0.46576
18.543	1.78338	0.36674	0.69786
3.664	0.52744	0.09008	0.44994
14.743	0.58347	0.23859	0.20234
2.051	0.52189	-0.07216	0.41998
3.113	1.1782	0.84946	0
14.564	0.79811	0.21097	0.42354
13.698	1.32937	0.31345	0.20276
7.206	1.26688	0.11038	0.43117
3.957	0.57905	0.19746	0.35826
21.833	3.95252	0.52409	0.11922
22.901	1.42947	0.33136	0.30099
3.297	0.16322	0.04364	0.91009
13.199	1.80795	0.11872	1.16315
2.394	0.25688	-0.02772	0.54013
6.144	1.71914	0.31754	0.09685
6.738	0.51697	0.13549	0.4548
8.145	0.8473	0.2747	0.42634
2.546	0.591	0.21652	0.94089
10.41	0.47394	0.16542	0.66549
2.977	0.28977	0.04885	0.03784
2.414	0.75876	0.1306	1.07047
16.507	1.87519	0.46686	0.32697
4.697	0.64613	0.10519	0.28528
6.324	2.91506	0.57397	0.14219
8.013	2.62656	0.31317	0.10836
4.635	3.08506	0.53825	0.02725
7.803	0.52902	0.14108	0.38956
2.221	0.5158	0.30876	0
18.059	1.15706	0.24841	0.50212
1.795	3.35724	0.77767	0
20.76	1.53537	0.29838	0.53978
10.809	1.87811	0.43574	0.18285
4.616	0.59349	0.2903	0.38147
4.094	0.39538	0.09955	0.17311
10.635	0.42549	0.08857	0.42285
19.667	0.76447	0.2414	0.47031
11.316	0.57436	0.34376	0.57457
14.171	0.79408	0.25131	0.54632
6.61	2.29545	0.21358	0
5.717	0.604	0.02038	0.8601
8.749	2.35973	0.63957	0.40894
8.244	2.90061	0.39002	0.02889
14.386	1.28007	0.24281	0.52821
8.565	1.55868	0.3107	0.01467
9.302	0.71392	0.22897	0.48396
5.108	1.70909	0.36219	0.19449
7.648	1.08888	0.18809	0.44611
19.194	3.08735	0.53716	0.18067
14.804	2.34398	0.44085	0.41359
5.393	2.20371	0.49513	0.01982
11.08	1.127	0.27785	0.50237
9.806	1.06169	0.27507	0.4036
5.801	0.39244	0.11014	0.39482
5.911	0.81783	0.22382	0.85216
4.768	2.27684	0.55802	0.1103
3.163	1.0228	0.1813	0.2094
4.852	0.54974	0.17098	0.46261
8.442	0.42139	0.06313	0.19094
10.376	0.69109	0.1785	0.32788
4.761	0.91204	-0.03939	0.47473
3.063	0.88648	0.21247	0.61366
17.866	0.80223	0.25907	0.54704
3.134	1.02333	0.21763	0.11128
10.819	0.39319	0.29562	0.34503
8.781	3.13845	0.15217	0.49374
13.46	0.84397	0.26624	0.35805
8.097	4.1001	0.64372	0
7.2	1.03662	0.19966	0.21013
7.039	3.09703	0.80557	0.13171
10.271	1.756	0.34712	0.03537
8.953	0.86959	0.43431	0.40039
18.971	1.99713	0.48922	0.05596
5.75	0.26358	0.02728	0.36434
6.48	0.453	-0.07953	0.78604
15.236	1.45084	0.25725	0.23391
2.535	0.28275	0.0133	0.25379
5.085	0.28051	0.09926	0.04389
5.609	0.4698	0.07476	0.58838
9.672	0.51103	0.15931	0.37627
4.869	0.45118	0.1041	0.47429
20.353	1.52394	0.52508	0.1205
14.502	2.96115	0.39743	0.0947
6.837	1.15274	0.28398	0.35078
3.448	0.55132	0.09126	0.14511
1.337	0.03094	-0.06974	0
9.722	0.95679	0.31889	0.24566
1.533	0.11751	0.14261	1.32763
5.293	2.77154	0.60676	0
3.828	0.88802	0.17724	0.9659
16.872	0.4287	-0.06709	0.04249
3.898	1.041	0.02557	0.54741
20.77	1.00015	0.35584	0.45839
4.345	0.33691	0.05755	0.44562
7.344	3.34091	0.59807	0.10753
9.02	0.40859	0.11729	0.86539
1.852	1.78999	0.39836	0.0165
5.15	0.75712	0.14916	0.23581
5.81	0.32998	0.11388	0.44816
5.25	0.51573	0.12434	0.02854
11.15	0.77594	0.32263	0.42278
10.635	0.89187	0.05597	0.04764
9.769	2.59844	0.437	0.26056
6.157	1.12828	0.32472	0.31601
12.591	0.34498	0.12079	0.46221
23.062	2.16302	0.43052	0.60168
5.467	1.13497	0.1987	0.12451
8.681	1.4466	0.28103	0.09146
22.652	1.288	0.15314	0.08288
6.071	1.96145	0.33624	0.52865
11.179	2.07115	0.29314	0.04457
9.987	0.40065	0.07258	0.37757
6.523	0.87653	0.25259	0.84405
6.588	0.50082	0.1312	0.21358
9.944	1.84095	-0.08036	0.11614
7.042	53.63293	5.47891	0
4.601	0.31582	0.03739	0.12166
15.75	2.26609	0.2991	0.15375
4.028	0.80327	0.11485	0.35258
9.735	2.61254	0.84654	0.2007
8.1	1.94639	0.28942	0.2193
12.471	1.71872	0.30054	0.62492
5.779	1.18797	0.22754	0.11452
10.008	1.56488	0.46321	0.21062
10.798	1.56748	0.2969	0.05911
1.772	0.09914	-0.06393	0.55296
20.008	1.55833	0.27279	0.65465
11.533	0.95185	0.21724	0.43149
6.395	1.08807	0.20448	0.17519
11.295	0.75512	0.13547	0.2626
12.34	0.81383	0.23902	0.11119
11.583	0.98824	0.28973	0
11.243	0.96458	0.24967	0.33925
10.243	1.10583	0.25644	0.49469
1.036	0.76201	0.05062	0.19742
3.227	0.57168	0.24241	0.39325
7.44	1.67823	0.27939	0.44201
8.98	2.25202	0.29241	0.16143
10.28	2.88617	0.7544	0
8.188	0.63965	0.11772	0.58549
3.048	0.10374	-0.06879	0.87789
5.783	0.39929	0.17951	0.45707
8.888	0.5135	-0.51905	0.18496
